Countries,Total arrivals(in thousands) 2020
Afghanistan,..
Albania,2658
Algeria,591
AMERICAN SAMOA,..
Andorra,5207
ANGOLA,..
ANGUILLA,41
ANTIGUA AND BARBUDA,276
ARGENTINA,3096
ARMENIA,..
ARUBA,368
AUSTRALIA,1828
AUSTRIA,..
AZERBAIJAN,796
BAHAMAS,1795
BAHRAIN,1909
BANGLADESH,..
BARBADOS,546
BELARUS,3598
BELGIUM,..
BELIZE,487
BENIN,354
BERMUDA,51
BHUTAN,..
"BOLIVIA, PLURINATIONAL STATE OF",..
BONAIRE,..
BOSNIA AND HERZEGOVINA,..
BOTSWANA,358
BRAZIL,..
BRITISH VIRGIN ISLANDS,..
BRUNEI DARUSSALAM,1071
BULGARIA,4973
BURKINA FASO,..
BURUNDI,..
CABO VERDE,..
CAMBODIA,..
CAMEROON,..
CANADA,5068
CAYMAN ISLANDS,660
CENTRAL AFRICAN REPUBLIC,..
CHAD,..
CHILE,1311
CHINA,30402
COLOMBIA,1396
COMOROS,..
CONGO,..
"CONGO, DEMOCRATIC REPUBLIC OF THE",..
COOK ISLANDS,..
COSTA RICA,1147
COTE D´IVOIRE,668
CROATIA,21608
CUBA,1086
CURAÇAO,436
CYPRUS,..
CZECH REPUBLIC (CZECHIA),10267
DENMARK,15595
DJIBOUTI,..
DOMINICA,140
DOMINICAN REPUBLIC,2748
ECUADOR,507
EGYPT,3677
EL SALVADOR,707
EQUATORIAL GUINEA,..
ERITREA,..
ESTONIA,1695
ESWATINI,345
ETHIOPIA,..
FIJI,168
FINLAND,..
FRANCE,117109
FRENCH GUIANA,..
FRENCH POLYNESIA,89
GABON,..
GAMBIA,..
GEORGIA,1513
GERMANY,..
GHANA,..
GREECE,7406
GRENADA,217
GUADELOUPE,..
GUAM,..
GUATEMALA,594
GUINEA,..
GUINEA-BISSAU,..
GUYANA,87
HAITI,322
HONDURAS,669
"HONG KONG, CHINA",3569
HUNGARY,31641
ICELAND,488
INDIA,..
INDONESIA,4053
"IRAN, ISLAMIC REPUBLIC OF",1550
IRAQ,..
IRELAND,..
ISRAEL,887
ITALY,38419
JAMAICA,1330
JAPAN,4116
JORDAN,1240
KAZAKHSTAN,2035
KENYA,568
KIRIBATI,..
"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",..
"KOREA, REPUBLIC OF",2519
KUWAIT,2161
KYRGYZSTAN,2079
LAO PEOPLE´S DEMOCRATIC REPUBLIC,886
LATVIA,3204
LEBANON,..
LESOTHO,..
LIBERIA,..
LIBYA,..
LIECHTENSTEIN,..
LITHUANIA,2284
LUXEMBOURG,..
"MACAO, CHINA",5897
MADAGASCAR,87
MALAWI,..
MALAYSIA,6102
MALDIVES,..
MALI,..
MALTA,718
MARSHALL ISLANDS,2
MARTINIQUE,523.6
MAURITANIA,..
MAURITIUS,316
MEXICO,51128
"MICRONESIA, FEDERATED STATES OF",..
"MOLDOVA, REPUBLIC OF",..
MONACO,..
MONGOLIA,67
MONTENEGRO,..
MONTSERRAT,7.7
MOROCCO,2802
MOZAMBIQUE,959
MYANMAR,..
NAMIBIA,187
NAURU,..
NEPAL,..
NETHERLANDS,..
NEW CALEDONIA,149
NEW ZEALAND,996
NICARAGUA,474
NIGER,..
NIGERIA,1209
NIUE,..
NORTH MACEDONIA,..
NORTHERN MARIANA ISLANDS,89
NORWAY,..
OMAN,869
PAKISTAN,..
PALAU,..
PANAMA,647
PAPUA NEW GUINEA,39
PARAGUAY,1077
PERU,1119
PHILIPPINES,..
POLAND,51076
PORTUGAL,..
PUERTO RICO,3882
QATAR,582
REUNION,255
ROMANIA,5023
RUSSIAN FEDERATION,6359
RWANDA,..
SABA,..
SAINT KITTS AND NEVIS,301
SAINT LUCIA,433
SAINT VINCENT AND THE GRENADINES,155
SAMOA,24
SAN MARINO,1015
SAO TOME AND PRINCIPE,..
SAUDI ARABIA,4882
SENEGAL,..
SERBIA,..
SERBIA AND MONTENEGRO,..
SEYCHELLES,125
SIERRA LEONE,26
SINGAPORE,2742
SINT EUSTATIUS,..
SINT MAARTEN (DUTCH PART),542
SLOVAKIA,..
SLOVENIA,..
SOLOMON ISLANDS,..
SOMALIA,..
SOUTH AFRICA,3887
SOUTH SUDAN,..
SPAIN,36410
SRI LANKA,540
STATE OF PALESTINE,1000
SUDAN,..
SURINAME,..
SWEDEN,..
SWITZERLAND,..
SYRIAN ARAB REPUBLIC,479
TAIWAN PROVINCE OF CHINA,1378
TAJIKISTAN,351
"TANZANIA, UNITED REPUBLIC OF",621
THAILAND,..
TIMOR-LESTE,..
TOGO,..
TONGA,12
TRINIDAD AND TOBAGO,141
TUNISIA,..
TÜRKIYE,15971
TURKMENISTAN,..
TURKS AND CAICOS ISLANDS,370
TUVALU,..
UGANDA,..
UKRAINE,3382
UNITED ARAB EMIRATES,8084
UNITED KINGDOM,11101
UNITED STATES OF AMERICA,44792
UNITED STATES VIRGIN ISLANDS,862
URUGUAY,..
UZBEKISTAN,1504
VANUATU,82
"VENEZUELA, BOLIVARIAN REPUBLIC OF",..
VIET NAM,3837
YEMEN,..
ZAMBIA,..
ZIMBABWE,639
